TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 362202893.59564 362202895.21616 362202896.83668 0 0.0 213.8246499849553 0.0 0.0 0.0
2 362202896.83668 362202898.4572 362202900.07772 0 0.0 213.8246499849553 0.0 0.0 0.0
3 362202900.07772 362202901.69824 362202903.31876 0 0.0 213.8246499849553 0.0 0.0 0.0
4 362202903.31876 362202904.93928 362202906.55979997 0 0.0 213.8246499849553 0.0 0.0 0.0
5 362202906.5598 362202908.18032 362202909.80084 0 0.0 213.8246499849553 0.0 0.0 0.0
6 362202909.80084 362202911.42136 362202913.04188 0 0.0 213.8246499849553 0.0 0.0 0.0
7 362202913.04188 362202914.6624 362202916.28292 0 0.0 213.8246499849553 0.0 0.0 0.0
8 362202916.28292 362202917.90344 362202919.52396 0 0.0 213.8246499849553 0.0 0.0 0.0
9 362202919.52396 362202921.14448 362202922.765 0 0.0 213.8246499849553 0.0 0.0 0.0
10 362202922.765 362202924.38552 362202926.00604 0 0.0 213.8246499849553 0.0 0.0 0.0
11 362202926.00604 362202927.62656 362202929.24707997 0 0.0 213.8246499849553 0.0 0.0 0.0
12 362202929.24708 362202930.8676 362202932.48812 0 0.0 213.8246499849553 0.0 0.0 0.0
13 362202932.48812 362202934.10864 362202935.72916 0 0.0 213.8246499849553 0.0 0.0 0.0
14 362202935.72916 362202937.34968 362202938.9702 0 0.0 213.8246499849553 0.0 0.0 0.0
15 362202938.9702 362202940.59072 362202942.21124 0 0.0 213.8246499849553 0.0 0.0 0.0
16 362202942.21124 362202943.83176 362202945.45228 0 0.0 213.8246499849553 0.0 0.0 0.0
17 362202945.45228 362202947.0728 362202948.69332 0 0.0 213.8246499849553 0.0 0.0 0.0
18 362202948.69332 362202950.31384 362202951.93435997 0 0.0 213.8246499849553 0.0 0.0 0.0
19 362202951.93436 362202953.55488 362202955.1754 0 0.0 213.8246499849553 0.0 0.0 0.0
20 362202955.1754 362202956.79592 362202958.41644 0 0.0 213.8246499849553 0.0 0.0 0.0
21 362202958.41644 362202960.03696 362202961.65748 0 0.0 213.8246499849553 0.0 0.0 0.0
22 362202961.65748 362202963.278 362202964.89852 0 0.0 213.8246499849553 0.0 0.0 0.0
23 362202964.89852 362202966.51904 362202968.13956 0 0.0 213.8246499849553 0.0 0.0 0.0
24 362202968.13956 362202969.76008 362202971.3806 0 0.0 213.8246499849553 0.0 0.0 0.0
25 362202971.3806 362202973.00112 362202974.62163997 0 0.0 213.8246499849553 0.0 0.0 0.0
26 362202974.62164 362202976.24216 362202977.86268 0 0.0 213.8246499849553 0.0 0.0 0.0
27 362202977.86268 362202979.4832 362202981.10372 0 0.0 213.8246499849553 0.0 0.0 0.0
